Timestamp,Tegangan_V,Arus_A,Daya,Energy,Mean_V,Std_Dev_V,Mean_I,Std_Dev_I,Label_Numerik,Hasil_Prediksi
2025-08-06 15:58:26.664,331.44,0.06000000,19.8,16,331.22,0.84,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.680,331.44,0.06000000,19.8,16,331.18,0.81,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.699,331.35,0.06000000,19.8,16,331.14,0.77,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.699,331.35,0.06000000,19.8,16,331.12,0.76,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.730,331.35,0.06000000,19.8,16,331.11,0.75,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.742,331.35,0.06000000,19.8,16,331.09,0.74,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.747,331.35,0.06000000,19.8,16,331.08,0.73,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.764,331.35,0.06000000,19.8,16,331.08,0.73,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.773,330.84,0.06000000,19.8,16,331.05,0.73,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.780,330.84,0.06000000,19.8,16,331.03,0.73,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.780,330.84,0.06000000,19.8,16,331.08,0.66,0.06,0.00,1,NORMAL
2025-08-06 15:58:26.830,330.15,0.06000000,19.8,16,331.11,0.61,0.06,0.00,1,NORMAL
2025-08-06 15:58:27.021,330.15,0.06000000,19.8,16,331.13,0.55,0.06,0.00,1,NORMAL
2025-08-06 15:58:27.206,330.15,0.06000000,19.8,16,331.07,0.57,0.06,0.00,1,NORMAL
2025-08-06 15:58:27.393,330.20,0.06000000,19.8,16,331.01,0.58,0.06,0.00,1,NORMAL
2025-08-06 15:58:27.579,330.20,0.06000000,19.8,16,330.95,0.58,0.06,0.00,1,NORMAL
2025-08-06 15:58:27.763,330.20,0.06000000,19.8,16,330.89,0.58,0.06,0.00,1,NORMAL
2025-08-06 15:58:27.942,330.50,0.06000000,19.8,16,330.85,0.56,0.06,0.00,1,NORMAL
2025-08-06 15:58:28.126,330.50,0.06000000,19.8,16,330.80,0.54,0.06,0.00,1,NORMAL
2025-08-06 15:58:28.316,330.50,0.06000000,19.8,16,330.76,0.52,0.06,0.00,1,NORMAL
2025-08-06 15:58:28.501,330.42,0.06000000,19.8,16,330.76,0.52,0.06,0.00,1,NORMAL
2025-08-06 15:58:28.693,330.42,0.06000000,19.8,16,330.76,0.51,0.06,0.00,1,NORMAL
2025-08-06 15:58:28.879,330.42,0.06000000,19.8,16,330.76,0.51,0.06,0.00,1,NORMAL
2025-08-06 15:58:29.073,330.66,0.06000000,19.8,16,330.78,0.50,0.06,0.00,1,NORMAL
2025-08-06 15:58:29.242,330.66,0.06000000,19.8,16,330.75,0.49,0.06,0.00,1,NORMAL
2025-08-06 15:58:29.442,331.27,0.06000000,19.8,16,330.74,0.48,0.06,0.00,1,NORMAL
2025-08-06 15:58:29.631,331.27,0.06000000,19.8,16,330.73,0.47,0.06,0.00,1,NORMAL
2025-08-06 15:58:29.816,331.27,0.06000000,19.8,16,330.73,0.46,0.06,0.00,1,NORMAL
2025-08-06 15:58:29.993,331.38,0.06000000,19.8,16,330.73,0.46,0.06,0.00,1,NORMAL
2025-08-06 15:58:30.181,331.38,0.06000000,19.8,16,330.73,0.47,0.06,0.00,1,NORMAL
2025-08-06 15:58:30.388,331.38,0.06000000,19.8,16,330.73,0.47,0.06,0.00,1,NORMAL
2025-08-06 15:58:30.573,331.32,0.06000000,19.8,16,330.73,0.47,0.06,0.00,1,NORMAL
2025-08-06 15:58:30.758,331.32,0.06000000,19.8,16,330.73,0.46,0.06,0.00,1,NORMAL
2025-08-06 15:58:30.927,331.32,0.06000000,19.8,16,330.75,0.48,0.06,0.00,1,NORMAL
2025-08-06 15:58:31.112,331.22,0.06000000,19.8,16,330.76,0.49,0.06,0.00,1,NORMAL
2025-08-06 15:58:31.297,331.22,0.06000000,19.8,16,330.78,0.50,0.06,0.00,1,NORMAL
2025-08-06 15:58:31.491,331.22,0.06000000,19.8,16,330.82,0.49,0.06,0.00,1,NORMAL
