Timestamp,Tegangan_V,Arus_A,Mean_V,Std_Dev_V,Mean_I,Std_Dev_I,Label_Numerik,Hasil_Prediksi
2025-07-24 20:24:05.961,329.45,0.06000000,329.45,0.00,0.06,0.00,1,NORMAL
2025-07-24 20:24:06.157,332.75,0.06000000,331.10,2.33,0.06,0.00,1,NORMAL
2025-07-24 20:24:06.338,331.07,0.06000000,331.09,1.65,0.06,0.00,1,NORMAL
2025-07-24 20:24:06.525,328.85,0.06000000,330.53,1.75,0.06,0.00,1,NORMAL
2025-07-24 20:24:06.707,330.02,0.06000000,330.43,1.53,0.06,0.00,1,NORMAL
2025-07-24 20:24:06.894,332.88,0.06000000,330.84,1.70,0.06,0.00,1,NORMAL
2025-07-24 20:24:07.073,331.01,0.06000000,330.86,1.55,0.06,0.00,1,NORMAL
2025-07-24 20:24:07.255,332.40,0.06000000,331.06,1.54,0.06,0.00,1,NORMAL 
2025-07-24 20:24:07.440,332.52,0.06000000,331.22,1.52,0.06,0.00,1,NORMAL
2025-07-24 20:24:07.626,328.94,0.06000000,330.99,1.60,0.06,0.00,1,NORMAL
2025-07-24 20:24:07.805,329.43,0.06000000,330.85,1.59,0.06,0.00,1,NORMAL
2025-07-24 20:24:07.990,328.89,0.06000000,330.68,1.62,0.06,0.00,1,NORMAL
2025-07-24 20:24:08.163,330.62,0.06000000,330.68,1.55,0.06,0.00,1,NORMAL
2025-07-24 20:24:08.342,333.25,0.06000000,330.86,1.64,0.06,0.00,1,NORMAL
2025-07-24 20:24:08.523,332.01,0.06000000,330.94,1.61,0.06,0.00,1,NORMAL
2025-07-24 20:24:08.711,333.47,0.06000000,331.10,1.68,0.06,0.00,1,NORMAL
2025-07-24 20:24:08.888,331.95,0.06000000,331.15,1.64,0.06,0.00,1,NORMAL
2025-07-24 20:24:09.074,332.31,0.06000000,331.21,1.61,0.06,0.00,1,NORMAL
2025-07-24 20:24:09.244,330.17,0.06000000,331.16,1.58,0.06,0.00,1,NORMAL
2025-07-24 20:24:09.420,332.78,0.06000000,331.24,1.58,0.06,0.00,1,NORMAL
2025-07-24 20:24:09.606,328.34,0.06000000,331.18,1.67,0.06,0.00,1,NORMAL
2025-07-24 20:24:09.785,332.33,0.06000000,331.16,1.65,0.06,0.00,1,NORMAL
2025-07-24 20:24:09.966,330.41,0.06000000,331.13,1.66,0.06,0.00,1,NORMAL
2025-07-24 20:24:10.149,331.01,0.06000000,331.24,1.57,0.06,0.00,1,NORMAL
2025-07-24 20:24:10.326,330.33,0.06000000,331.25,1.56,0.06,0.00,1,NORMAL
2025-07-24 20:24:10.511,331.31,0.06000000,331.17,1.51,0.06,0.00,1,NORMAL
2025-07-24 20:24:10.695,329.53,0.06000000,331.10,1.55,0.06,0.00,1,NORMAL
2025-07-24 20:24:10.879,331.88,0.06000000,331.07,1.54,0.06,0.00,1,NORMAL
2025-07-24 20:24:11.052,329.74,0.06000000,330.93,1.52,0.06,0.00,1,NORMAL
2025-07-24 20:24:11.235,329.01,0.06000000,330.94,1.52,0.06,0.00,1,NORMAL
2025-07-24 20:24:11.411,329.76,0.06000000,330.95,1.50,0.06,0.00,1,NORMAL
2025-07-24 20:24:11.601,328.01,0.06000000,330.91,1.58,0.06,0.00,1,NORMAL
2025-07-24 20:24:11.789,329.87,0.06000000,330.87,1.59,0.06,0.00,1,NORMAL
2025-07-24 20:24:11.973,333.66,0.06000000,330.89,1.63,0.06,0.00,1,NORMAL
2025-07-24 20:24:12.153,330.70,0.06000000,330.83,1.61,0.06,0.00,1,NORMAL
2025-07-24 20:24:12.328,328.42,0.06000000,330.58,1.57,0.06,0.00,1,NORMAL
2025-07-24 20:24:12.511,328.76,0.06000000,330.42,1.58,0.06,0.00,1,NORMAL
2025-07-24 20:24:12.697,328.63,0.06000000,330.23,1.56,0.06,0.00,1,NORMAL
2025-07-24 20:24:12.879,333.86,0.06000000,330.42,1.76,0.06,0.00,1,NORMAL
2025-07-24 20:24:13.054,330.52,0.06000000,330.30,1.67,0.06,0.00,1,NORMAL
2025-07-24 20:24:13.235,331.75,0.06000000,330.48,1.63,0.06,0.00,1,NORMAL
2025-07-24 20:24:13.424,329.23,0.06000000,330.32,1.59,0.06,0.00,1,NORMAL
2025-07-24 20:24:13.612,328.74,0.06000000,330.24,1.63,0.06,0.00,1,NORMAL
2025-07-24 20:24:13.798,329.88,0.06000000,330.18,1.62,0.06,0.00,1,NORMAL
2025-07-24 20:24:13.970,328.13,0.06000000,330.07,1.69,0.06,0.00,1,NORMAL
2025-07-24 20:24:14.152,330.64,0.06000000,330.04,1.67,0.06,0.00,1,NORMAL
2025-07-24 20:24:14.339,331.69,0.06000000,330.14,1.70,0.06,0.00,1,NORMAL
2025-07-24 20:24:14.523,333.71,0.06000000,330.24,1.84,0.06,0.00,1,NORMAL
2025-07-24 20:24:14.700,330.04,0.06000000,330.25,1.84,0.06,0.00,1,NORMAL
2025-07-24 20:24:14.884,330.90,0.06000000,330.35,1.82,0.06,0.00,1,NORMAL
2025-07-24 20:24:15.055,332.53,0.06000000,330.48,1.88,0.06,0.00,1,NORMAL
2025-07-24 20:24:15.236,332.96,0.06000000,330.73,1.86,0.06,0.00,1,NORMAL
2025-07-24 20:24:15.411,332.40,0.06000000,330.86,1.89,0.06,0.00,1,NORMAL
2025-07-24 20:24:15.593,331.76,0.06000000,330.76,1.78,0.06,0.00,1,NORMAL
2025-07-24 20:24:15.777,328.46,0.06000000,330.65,1.86,0.06,0.00,1,NORMAL
2025-07-24 20:24:15.950,331.88,0.06000000,330.82,1.80,0.06,0.00,1,NORMAL
2025-07-24 20:24:16.130,328.96,0.06000000,330.83,1.79,0.06,0.00,1,NORMAL
2025-07-24 20:24:16.307,332.67,0.06000000,331.04,1.75,0.06,0.00,1,NORMAL
2025-07-24 20:24:16.500,331.60,0.06000000,330.92,1.63,0.06,0.00,1,NORMAL
2025-07-24 20:24:16.677,332.56,0.06000000,331.03,1.67,0.06,0.00,1,NORMAL
2025-07-24 20:24:16.869,331.38,0.06000000,331.01,1.66,0.06,0.00,1,NORMAL
2025-07-24 20:24:17.053,331.31,0.06000000,331.11,1.61,0.06,0.00,1,NORMAL
2025-07-24 20:24:17.230,253.87,0.05000000,327.37,17.37,0.06,0.00,2,ARC FLASH ⚠
2025-07-24 20:24:17.401,275.13,0.00000000,324.63,20.90,0.06,0.01,2,ARC FLASH ⚠
2025-07-24 20:24:17.585,0.00,0.00000000,308.22,75.50,0.05,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:17.762,272.12,0.00000000,305.30,75.71,0.05,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:17.943,185.08,0.05000000,297.97,80.00,0.05,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:18.119,306.05,0.00000000,296.58,79.59,0.05,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:18.300,290.39,0.05000000,294.60,79.20,0.05,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:18.484,306.13,0.00000000,293.36,78.80,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:18.661,291.41,0.06000000,291.31,78.26,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:18.837,285.23,0.02000000,288.92,77.65,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:19.018,293.27,0.03000000,286.96,76.98,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:19.206,290.15,0.00000000,284.88,76.27,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:19.383,289.61,0.04000000,282.94,75.59,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:19.569,298.13,0.05000000,281.25,74.81,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:19.742,299.55,0.05000000,279.78,74.11,0.04,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:19.917,0.00,0.05000000,263.15,95.78,0.03,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:20.109,287.35,0.06000000,260.94,94.62,0.03,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:20.290,169.91,0.00000000,252.80,95.13,0.03,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:20.458,220.25,0.00000000,247.25,93.53,0.03,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:20.637,178.83,0.00000000,239.62,92.53,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:20.820,0.00,0.00000000,226.93,106.78,0.02,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:20.999,305.63,0.05000000,228.45,107.72,0.03,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:21.183,308.55,0.00000000,243.88,94.57,0.03,0.03,2,ARC FLASH ⚠
2025-07-24 20:24:21.362,303.83,0.04000000,245.47,95.34,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:21.546,289.43,0.00000000,250.68,94.71,0.02,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:21.727,302.27,0.06000000,250.50,94.60,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:21.905,293.45,0.02000000,250.65,94.67,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:22.080,289.49,0.00000000,249.82,94.23,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:22.258,251.70,0.03000000,247.83,93.72,0.02,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:22.446,241.81,0.06000000,245.66,93.31,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:22.631,287.33,0.00000000,245.36,93.16,0.02,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:22.816,309.74,0.04000000,246.34,93.76,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:23.007,220.22,0.04000000,242.87,93.36,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:23.181,204.97,0.05000000,238.22,92.78,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:23.356,284.69,0.03000000,237.47,92.32,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:23.537,228.24,0.02000000,248.88,73.63,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:23.703,273.79,0.05000000,248.21,73.32,0.02,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:23.894,232.33,0.05000000,251.33,71.11,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:24.070,120.03,0.05000000,246.32,76.72,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:24.252,126.64,0.04000000,243.71,79.96,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:24.428,287.54,0.05000000,258.08,56.13,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:24.614,288.46,0.02000000,257.23,55.50,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:24.793,307.58,0.04000000,257.18,55.45,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:24.968,242.34,0.05000000,254.10,54.42,0.03,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:25.139,292.10,0.05000000,254.24,54.52,0.04,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:25.319,303.68,0.03000000,254.31,54.58,0.04,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:25.499,296.01,0.05000000,254.43,54.68,0.04,0.02,2,ARC FLASH ⚠
2025-07-24 20:24:25.673,305.86,0.06000000,255.25,55.35,0.04,0.01,2,ARC FLASH ⚠
2025-07-24 20:24:25.862,297.83,0.04000000,257.56,56.15,0.04,0.01,2,ARC FLASH ⚠
2025-07-24 20:24:26.032,267.72,0.02000000,258.85,56.07,0.04,0.01,2,ARC FLASH ⚠
2025-07-24 20:24:26.213,0.00,0.05000000,244.49,80.06,0.04,0.01,2,ARC FLASH ⚠
2025-07-24 20:24:26.406,124.86,0.04000000,235.24,82.76,0.04,0.01,2,ARC FLASH ⚠
2025-07-24 20:24:26.587,220.54,0.03000000,235.26,82.76,0.04,0.01,2,ARC FLASH ⚠
2025-07-24 20:24:26.772,234.93,0.05000000,236.76,82.45,0.04,0.01,2,ARC FLASH ⚠
