Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.25,143.03,0.09000000,149.80,80.21,0.08860000,0.03934514,Status: Arc Flash,Status: Arc Flash,Sesuai
0.52,293.50,0.09000000,155.36,80.33,0.08900000,0.03925557,Status: Arc Flash,Status: Arc Flash,Sesuai
0.80,180.69,0.08000000,157.01,79.99,0.08960000,0.03888239,Status: Arc Flash,Status: Arc Flash,Sesuai
1.05,232.05,0.13000000,157.04,80.02,0.09100000,0.03905125,Status: Arc Flash,Status: Arc Flash,Sesuai
1.33,63.92,0.04000000,157.57,79.31,0.09060000,0.03946695,Status: Arc Flash,Status: Arc Flash,Sesuai
1.56,279.40,0.13000000,162.60,78.90,0.09240000,0.03916938,Status: Arc Flash,Status: Arc Flash,Sesuai
1.82,244.04,0.14000000,161.67,77.65,0.09300000,0.03966106,Status: Arc Flash,Status: Arc Flash,Sesuai
2.05,207.52,0.03000000,160.99,77.10,0.09240000,0.04037623,Status: Arc Flash,Status: Arc Flash,Sesuai
2.28,234.19,0.03000000,163.23,77.57,0.09200000,0.04089010,Status: Arc Flash,Status: Arc Flash,Sesuai
2.51,81.48,0.11000000,161.01,78.28,0.09140000,0.04039851,Status: Arc Flash,Status: Arc Flash,Sesuai
2.77,55.07,0.09000000,157.52,79.03,0.09260000,0.03943653,Status: Arc Flash,Status: Arc Flash,Sesuai
3.07,252.97,0.13000000,158.97,80.10,0.09360000,0.03973714,Status: Arc Flash,Status: Arc Flash,Sesuai
3.34,264.69,0.06000000,163.01,80.24,0.09260000,0.03994046,Status: Arc Flash,Status: Arc Flash,Sesuai
3.60,34.50,0.05000000,159.33,81.81,0.09280000,0.03970088,Status: Arc Flash,Status: Arc Flash,Sesuai
3.86,207.97,0.13000000,161.11,81.88,0.09300000,0.03986226,Status: Arc Flash,Status: Arc Flash,Sesuai
4.11,226.87,0.09000000,163.21,82.19,0.09420000,0.03883761,Status: Arc Flash,Status: Arc Flash,Sesuai
4.37,190.12,0.05000000,165.53,81.27,0.09260000,0.03897743,Status: Arc Flash,Status: Arc Flash,Sesuai
4.64,220.99,0.04000000,164.23,79.85,0.09080000,0.03928562,Status: Arc Flash,Status: Arc Flash,Sesuai
4.86,209.60,0.08000000,163.75,79.50,0.09160000,0.03864505,Status: Arc Flash,Status: Arc Flash,Sesuai
5.09,111.84,0.07000000,165.04,78.11,0.09080000,0.03866988,Status: Arc Flash,Status: Arc Flash,Sesuai
5.36,17.73,0.09000000,161.67,80.71,0.09100000,0.03863936,Status: Arc Flash,Status: Arc Flash,Sesuai
5.64,155.97,0.06000000,160.07,80.01,0.09140000,0.03821047,Status: Arc Flash,Status: Arc Flash,Sesuai
5.93,253.42,0.07000000,163.73,80.01,0.09040000,0.03810302,Status: Arc Flash,Status: Arc Flash,Sesuai
6.22,168.24,0.07000000,162.89,79.74,0.08960000,0.03810302,Status: Arc Flash,Status: Arc Flash,Sesuai
6.48,162.98,0.12000000,162.41,79.66,0.08920000,0.03767439,Status: Arc Flash,Status: Arc Flash,Sesuai
6.72,24.56,0.12000000,161.45,81.01,0.09080000,0.03724728,Status: Arc Flash,Status: Arc Flash,Sesuai
6.96,221.45,0.10000000,161.38,80.95,0.09120000,0.03723654,Status: Arc Flash,Status: Arc Flash,Sesuai
7.23,31.75,0.13000000,159.23,82.92,0.09220000,0.03759202,Status: Arc Flash,Status: Arc Flash,Sesuai
7.51,214.05,0.09000000,160.40,83.27,0.09320000,0.03684780,Status: Arc Flash,Status: Arc Flash,Sesuai
7.75,194.53,0.14000000,162.73,82.56,0.09360000,0.03724299,Status: Arc Flash,Status: Arc Flash,Sesuai
8.00,144.31,0.15000000,163.38,82.28,0.09380000,0.03751746,Status: Arc Flash,Status: Arc Flash,Sesuai
8.25,80.71,0.06000000,164.61,80.57,0.09240000,0.03744650,Status: Arc Flash,Status: Arc Flash,Sesuai
8.54,89.24,0.13000000,166.23,78.17,0.09200000,0.03693237,Status: Arc Flash,Status: Arc Flash,Sesuai
8.78,290.48,0.08000000,167.97,79.93,0.09080000,0.03632300,Status: Arc Flash,Status: Arc Flash,Sesuai
9.03,48.93,0.13000000,163.88,80.67,0.09180000,0.03669823,Status: Arc Flash,Status: Arc Flash,Sesuai
9.32,73.61,0.13000000,161.42,81.51,0.09240000,0.03707074,Status: Arc Flash,Status: Arc Flash,Sesuai
9.55,130.37,0.08000000,160.63,81.62,0.09320000,0.03635602,Status: Arc Flash,Status: Arc Flash,Sesuai
9.82,19.69,0.11000000,155.72,82.56,0.09460000,0.03562078,Status: Arc Flash,Status: Arc Flash,Sesuai
10.10,11.56,0.09000000,154.26,84.42,0.09360000,0.03502913,Status: Arc Flash,Status: Arc Flash,Sesuai
