Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.24,266.74,0.05000000,266.37,0.64,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.48,265.99,0.05000000,266.37,0.64,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.74,266.50,0.05000000,266.38,0.64,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.01,267.12,0.05000000,266.37,0.63,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.28,266.44,0.05000000,266.39,0.61,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.57,266.58,0.05000000,266.39,0.61,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.80,266.08,0.05000000,266.38,0.61,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.02,266.39,0.05000000,266.38,0.61,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.28,266.57,0.05000000,266.36,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.57,266.59,0.05000000,266.36,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.82,267.09,0.05000000,266.40,0.58,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.11,266.63,0.05000000,266.41,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.39,266.04,0.05000000,266.39,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.63,266.27,0.05000000,266.38,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.86,265.86,0.05000000,266.37,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.09,265.93,0.05000000,266.38,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.39,266.23,0.05000000,266.37,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.64,266.63,0.05000000,266.37,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.92,266.42,0.05000000,266.38,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.22,266.85,0.05000000,266.38,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.45,266.64,0.05000000,266.38,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.74,265.82,0.05000000,266.35,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.98,266.13,0.05000000,266.36,0.51,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.20,266.47,0.05000000,266.38,0.50,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.49,266.87,0.05000000,266.40,0.50,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.74,265.32,0.05000000,266.38,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
7.02,266.51,0.05000000,266.38,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
7.25,266.79,0.05000000,266.41,0.52,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
7.51,96.84,0.10000000,263.01,23.74,0.05100000,0.00700000,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.77,82.80,0.05000000,259.34,34.64,0.05100000,0.00700000,Status: Normal,Status: Arc Flash,Tidak Sesuai
8.04,107.10,0.13000000,256.15,40.64,0.05260000,0.01308587,Status: Normal,Status: Arc Flash,Tidak Sesuai
8.31,283.70,0.04000000,256.49,40.80,0.05240000,0.01320000,Status: Normal,Status: Arc Flash,Tidak Sesuai
8.59,109.72,0.03000000,253.37,45.65,0.05200000,0.01356466,Status: Normal,Status: Arc Flash,Tidak Sesuai
8.85,148.62,0.07000000,251.02,47.90,0.05240000,0.01379275,Status: Arc Flash,Status: Arc Flash,Sesuai
9.08,88.43,0.09000000,247.48,52.98,0.05320000,0.01475669,Status: Arc Flash,Status: Arc Flash,Sesuai
9.33,195.35,0.14000000,246.06,53.40,0.05500000,0.01910497,Status: Arc Flash,Status: Arc Flash,Sesuai
9.62,164.39,0.11000000,244.02,54.52,0.05620000,0.02058057,Status: Arc Flash,Status: Arc Flash,Sesuai
9.85,139.34,0.05000000,241.46,56.35,0.05620000,0.02058057,Status: Arc Flash,Status: Arc Flash,Sesuai
10.12,250.33,0.07000000,241.12,56.24,0.05660000,0.02065042,Status: Arc Flash,Status: Arc Flash,Sesuai
10.39,51.58,0.12000000,236.82,62.05,0.05800000,0.02244994,Status: Arc Flash,Status: Arc Flash,Sesuai
10.66,238.59,0.05000000,236.25,61.90,0.05800000,0.02244994,Status: Arc Flash,Status: Arc Flash,Sesuai
10.95,269.57,0.06000000,236.29,61.92,0.05820000,0.02242231,Status: Arc Flash,Status: Arc Flash,Sesuai
11.23,120.56,0.05000000,233.40,63.85,0.05820000,0.02242231,Status: Arc Flash,Status: Arc Flash,Sesuai
11.45,20.78,0.14000000,228.50,70.26,0.06000000,0.02513961,Status: Arc Flash,Status: Arc Flash,Sesuai
11.68,114.34,0.13000000,225.45,71.82,0.06160000,0.02693399,Status: Arc Flash,Status: Arc Flash,Sesuai
11.92,69.58,0.08000000,221.51,74.80,0.06220000,0.02700296,Status: Arc Flash,Status: Arc Flash,Sesuai
12.19,233.58,0.13000000,220.88,74.56,0.06380000,0.02855801,Status: Arc Flash,Status: Arc Flash,Sesuai
12.41,18.64,0.08000000,215.94,79.45,0.06440000,0.02857691,Status: Arc Flash,Status: Arc Flash,Sesuai
12.67,26.87,0.03000000,211.15,83.39,0.06400000,0.02891366,Status: Arc Flash,Status: Arc Flash,Sesuai
12.91,147.31,0.14000000,208.75,83.47,0.06580000,0.03073044,Status: Arc Flash,Status: Arc Flash,Sesuai
13.19,229.46,0.07000000,208.00,83.11,0.06620000,0.03065224,Status: Arc Flash,Status: Arc Flash,Sesuai
13.43,277.00,0.14000000,208.23,83.28,0.06800000,0.03224903,Status: Arc Flash,Status: Arc Flash,Sesuai
13.70,98.78,0.15000000,204.87,84.24,0.07000000,0.03411744,Status: Arc Flash,Status: Arc Flash,Sesuai
13.96,256.83,0.15000000,204.67,84.10,0.07200000,0.03577709,Status: Arc Flash,Status: Arc Flash,Sesuai
14.19,11.06,0.05000000,199.56,87.86,0.07200000,0.03577709,Status: Arc Flash,Status: Arc Flash,Sesuai
14.44,251.95,0.06000000,199.26,87.66,0.07220000,0.03568137,Status: Arc Flash,Status: Arc Flash,Sesuai
14.67,149.08,0.12000000,196.93,87.41,0.07360000,0.03615301,Status: Arc Flash,Status: Arc Flash,Sesuai
14.91,90.91,0.13000000,193.42,88.07,0.07520000,0.03683694,Status: Arc Flash,Status: Arc Flash,Sesuai
15.17,125.08,0.13000000,190.59,87.94,0.07680000,0.03744009,Status: Arc Flash,Status: Arc Flash,Sesuai
15.46,83.69,0.13000000,186.93,88.51,0.07840000,0.03796630,Status: Arc Flash,Status: Arc Flash,Sesuai
15.72,188.04,0.13000000,185.35,87.77,0.08000000,0.03841875,Status: Arc Flash,Status: Arc Flash,Sesuai
16.00,221.22,0.08000000,184.44,87.15,0.08060000,0.03817905,Status: Arc Flash,Status: Arc Flash,Sesuai
16.27,248.81,0.11000000,184.09,86.86,0.08180000,0.03814132,Status: Arc Flash,Status: Arc Flash,Sesuai
16.51,217.71,0.13000000,183.12,86.21,0.08340000,0.03845049,Status: Arc Flash,Status: Arc Flash,Sesuai
16.73,184.62,0.07000000,181.50,85.39,0.08380000,0.03820419,Status: Arc Flash,Status: Arc Flash,Sesuai
17.03,33.28,0.14000000,176.84,86.99,0.08560000,0.03868643,Status: Arc Flash,Status: Arc Flash,Sesuai
