Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.26,117.68,0.05000000,140.54,93.52,0.08480000,0.03528399,Status: Arc Flash,Status: Arc Flash,Sesuai
0.49,234.44,0.14000000,143.34,94.19,0.08520000,0.03579050,Status: Arc Flash,Status: Arc Flash,Sesuai
0.78,37.57,0.06000000,144.03,93.28,0.08440000,0.03589763,Status: Arc Flash,Status: Arc Flash,Sesuai
1.06,197.58,0.11000000,147.25,92.29,0.08380000,0.03520739,Status: Arc Flash,Status: Arc Flash,Sesuai
1.36,32.47,0.13000000,143.53,93.09,0.08360000,0.03491475,Status: Arc Flash,Status: Arc Flash,Sesuai
1.58,260.80,0.14000000,143.43,92.96,0.08400000,0.03544009,Status: Arc Flash,Status: Arc Flash,Sesuai
1.85,204.71,0.04000000,145.80,92.99,0.08340000,0.03592269,Status: Arc Flash,Status: Arc Flash,Sesuai
2.07,121.99,0.06000000,146.71,92.52,0.08280000,0.03605773,Status: Arc Flash,Status: Arc Flash,Sesuai
2.33,157.24,0.08000000,148.39,91.94,0.08260000,0.03604497,Status: Arc Flash,Status: Arc Flash,Sesuai
2.61,187.69,0.14000000,149.39,92.09,0.08340000,0.03685702,Status: Arc Flash,Status: Arc Flash,Sesuai
2.88,68.07,0.14000000,146.76,92.49,0.08340000,0.03685702,Status: Arc Flash,Status: Arc Flash,Sesuai
3.17,241.34,0.13000000,145.75,91.16,0.08400000,0.03736308,Status: Arc Flash,Status: Arc Flash,Sesuai
3.47,13.02,0.05000000,144.84,92.25,0.08240000,0.03707074,Status: Arc Flash,Status: Arc Flash,Sesuai
3.74,254.24,0.08000000,149.08,92.31,0.08120000,0.03614637,Status: Arc Flash,Status: Arc Flash,Sesuai
4.02,82.37,0.10000000,149.95,91.47,0.08220000,0.03596053,Status: Arc Flash,Status: Arc Flash,Sesuai
4.26,118.85,0.08000000,149.95,91.47,0.08120000,0.03530666,Status: Arc Flash,Status: Arc Flash,Sesuai
4.50,215.54,0.14000000,153.98,89.81,0.08320000,0.03574577,Status: Arc Flash,Status: Arc Flash,Sesuai
4.78,299.81,0.05000000,157.88,91.80,0.08300000,0.03590265,Status: Arc Flash,Status: Arc Flash,Sesuai
5.04,108.06,0.14000000,157.34,92.02,0.08500000,0.03623534,Status: Arc Flash,Status: Arc Flash,Sesuai
5.30,250.87,0.07000000,160.89,92.13,0.08420000,0.03611592,Status: Arc Flash,Status: Arc Flash,Sesuai
5.57,17.93,0.10000000,158.52,94.23,0.08420000,0.03611592,Status: Arc Flash,Status: Arc Flash,Sesuai
5.81,235.43,0.06000000,160.24,94.83,0.08340000,0.03620000,Status: Arc Flash,Status: Arc Flash,Sesuai
6.07,189.78,0.10000000,158.90,93.92,0.08480000,0.03545363,Status: Arc Flash,Status: Arc Flash,Sesuai
6.32,57.42,0.10000000,159.70,92.87,0.08620000,0.03463466,Status: Arc Flash,Status: Arc Flash,Sesuai
6.58,289.96,0.08000000,160.00,93.26,0.08680000,0.03426018,Status: Arc Flash,Status: Arc Flash,Sesuai
6.80,27.44,0.05000000,160.32,92.77,0.08640000,0.03456935,Status: Arc Flash,Status: Arc Flash,Sesuai
7.10,49.45,0.05000000,155.93,92.72,0.08640000,0.03456935,Status: Arc Flash,Status: Arc Flash,Sesuai
7.37,149.54,0.13000000,157.71,91.72,0.08820000,0.03444938,Status: Arc Flash,Status: Arc Flash,Sesuai
7.61,263.16,0.09000000,159.85,92.90,0.08940000,0.03343112,Status: Arc Flash,Status: Arc Flash,Sesuai
7.90,263.85,0.14000000,160.57,93.56,0.09120000,0.03368323,Status: Arc Flash,Status: Arc Flash,Sesuai
