Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.27,53.13,0.06000000,140.78,90.37,0.08720000,0.03340898,Status: Arc Flash,Status: Arc Flash,Sesuai
0.54,82.35,0.09000000,141.04,90.18,0.08720000,0.03340898,Status: Arc Flash,Status: Arc Flash,Sesuai
0.77,174.11,0.13000000,140.93,90.14,0.08780000,0.03389926,Status: Arc Flash,Status: Arc Flash,Sesuai
1.07,36.06,0.12000000,137.54,90.84,0.08960000,0.03316384,Status: Arc Flash,Status: Arc Flash,Sesuai
1.36,205.81,0.05000000,139.05,91.33,0.08820000,0.03332807,Status: Arc Flash,Status: Arc Flash,Sesuai
1.65,81.25,0.10000000,138.90,91.42,0.08780000,0.03306297,Status: Arc Flash,Status: Arc Flash,Sesuai
1.91,60.55,0.06000000,138.68,91.60,0.08700000,0.03324154,Status: Arc Flash,Status: Arc Flash,Sesuai
2.14,165.57,0.05000000,137.77,91.10,0.08660000,0.03356248,Status: Arc Flash,Status: Arc Flash,Sesuai
2.42,247.20,0.04000000,139.26,92.26,0.08560000,0.03418538,Status: Arc Flash,Status: Arc Flash,Sesuai
2.70,114.94,0.13000000,140.75,91.24,0.08720000,0.03435346,Status: Arc Flash,Status: Arc Flash,Sesuai
2.97,170.67,0.10000000,143.77,89.68,0.08760000,0.03438372,Status: Arc Flash,Status: Arc Flash,Sesuai
3.21,268.19,0.14000000,146.84,91.25,0.08860000,0.03515736,Status: Arc Flash,Status: Arc Flash,Sesuai
3.47,52.01,0.13000000,147.87,89.87,0.08940000,0.03563201,Status: Arc Flash,Status: Arc Flash,Sesuai
3.73,144.88,0.12000000,148.96,89.50,0.09080000,0.03543106,Status: Arc Flash,Status: Arc Flash,Sesuai
3.96,82.07,0.13000000,147.81,89.98,0.09120000,0.03575696,Status: Arc Flash,Status: Arc Flash,Sesuai
4.18,144.10,0.05000000,148.13,89.94,0.09000000,0.03611094,Status: Arc Flash,Status: Arc Flash,Sesuai
4.47,13.87,0.04000000,146.38,91.67,0.08920000,0.03676085,Status: Arc Flash,Status: Arc Flash,Sesuai
4.76,182.86,0.11000000,144.33,89.67,0.08900000,0.03661967,Status: Arc Flash,Status: Arc Flash,Sesuai
4.98,196.59,0.12000000,143.77,89.25,0.09060000,0.03618895,Status: Arc Flash,Status: Arc Flash,Sesuai
5.20,230.83,0.06000000,147.68,88.70,0.09060000,0.03618895,Status: Arc Flash,Status: Arc Flash,Sesuai
5.45,77.94,0.05000000,143.51,86.97,0.08920000,0.03637802,Status: Arc Flash,Status: Arc Flash,Sesuai
