Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.27,265.73,0.05000000,266.38,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.57,267.10,0.05000000,266.39,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.79,266.55,0.05000000,266.39,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.06,266.02,0.05000000,266.39,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.29,266.43,0.05000000,266.38,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.55,266.38,0.05000000,266.38,0.44,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.82,266.01,0.05000000,266.38,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.08,266.96,0.05000000,266.40,0.44,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.35,266.35,0.05000000,266.40,0.44,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.60,266.31,0.05000000,266.39,0.44,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.87,267.41,0.05000000,266.41,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.12,267.17,0.05000000,266.42,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.37,266.48,0.05000000,266.40,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.64,267.00,0.05000000,266.41,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.89,266.27,0.05000000,266.41,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.13,267.04,0.05000000,266.42,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.40,266.26,0.05000000,266.42,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.65,267.33,0.05000000,266.45,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.89,265.99,0.05000000,266.45,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.17,265.90,0.05000000,266.44,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.43,266.16,0.05000000,266.44,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.71,266.90,0.05000000,266.45,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.95,266.60,0.05000000,266.45,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.22,266.41,0.05000000,266.45,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.47,200.70,0.04000000,265.14,9.22,0.04980000,0.00140000,Status: Normal,Status: Arc Flash,Tidak Sesuai
6.73,284.64,0.08000000,265.51,9.61,0.05040000,0.00445421,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.00,298.30,0.12000000,266.14,10.65,0.05180000,0.01071261,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.24,65.40,0.14000000,262.11,30.05,0.05360000,0.01634136,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.49,273.99,0.13000000,262.28,30.09,0.05520000,0.01951820,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.76,62.20,0.13000000,258.20,41.10,0.05680000,0.02213052,Status: Arc Flash,Status: Arc Flash,Sesuai
8.00,106.66,0.05000000,255.01,46.23,0.05680000,0.02213052,Status: Arc Flash,Status: Arc Flash,Sesuai
8.29,105.12,0.08000000,251.80,50.73,0.05740000,0.02234368,Status: Arc Flash,Status: Arc Flash,Sesuai
8.56,190.85,0.15000000,250.28,51.40,0.05940000,0.02580000,Status: Arc Flash,Status: Arc Flash,Sesuai
8.84,151.90,0.06000000,247.99,53.15,0.05960000,0.02576509,Status: Arc Flash,Status: Arc Flash,Sesuai
9.06,101.21,0.11000000,244.68,56.90,0.06080000,0.02667133,Status: Arc Flash,Status: Arc Flash,Sesuai
9.33,60.42,0.04000000,240.55,62.37,0.06060000,0.02678880,Status: Arc Flash,Status: Arc Flash,Sesuai
9.58,185.62,0.06000000,238.94,62.73,0.06080000,0.02674621,Status: Arc Flash,Status: Arc Flash,Sesuai
9.86,78.90,0.14000000,235.17,66.45,0.06260000,0.02890052,Status: Arc Flash,Status: Arc Flash,Sesuai
10.09,206.79,0.05000000,233.97,66.41,0.06260000,0.02890052,Status: Arc Flash,Status: Arc Flash,Sesuai
10.32,244.19,0.15000000,233.54,66.27,0.06460000,0.03131837,Status: Arc Flash,Status: Arc Flash,Sesuai
10.55,280.35,0.12000000,233.82,66.44,0.06600000,0.03218695,Status: Arc Flash,Status: Arc Flash,Sesuai
10.82,126.07,0.04000000,231.02,67.96,0.06580000,0.03231656,Status: Arc Flash,Status: Arc Flash,Sesuai
11.09,32.27,0.11000000,226.34,73.22,0.06700000,0.03281768,Status: Arc Flash,Status: Arc Flash,Sesuai
11.37,163.64,0.07000000,224.29,73.52,0.06740000,0.03272980,Status: Arc Flash,Status: Arc Flash,Sesuai
11.61,200.61,0.10000000,222.96,73.33,0.06840000,0.03294602,Status: Arc Flash,Status: Arc Flash,Sesuai
11.89,70.66,0.06000000,219.05,76.08,0.06860000,0.03286396,Status: Arc Flash,Status: Arc Flash,Sesuai
12.13,45.12,0.07000000,214.62,79.55,0.06900000,0.03275668,Status: Arc Flash,Status: Arc Flash,Sesuai
12.39,230.73,0.07000000,213.90,79.24,0.06940000,0.03264414,Status: Arc Flash,Status: Arc Flash,Sesuai
